CensusTract,County,DI_ID,FoodProducing,Latitude,Longitude,ObjectID,State,GardenName,Address,NeighborhoodName
28,M,NY1,N/A,40.727124,-73.978677,NA,NY,11 BC Serenity Garden,626 East 11th Street,East Village
N/A,B,NY2,N/A,N/A,N/A,NA,NY,1100 Bergen Street Community Garden,1101 & 1105 Bergen Street,Crown Heights
17402,M,NY3,N/A,40.796295,-73.947533,M382,NY,110th Street Block Association,1651 Madison Avenue,East Harlem
182,M,NY4,N/A,40.798976,-73.940376,M331,NY,117th Street Community Garden,172 E 117th Street,East Harlem
34,M,NY5,N/A,40.729079,-73.983327,NA,NY,11th Street Community Garden,422 East 11th Street,East Village
N/A,X,NY6,N/A,N/A,N/A,NA,NY,211th Street Block Association.,Carlisle Place,N/A
36501,X,NY7,N/A,40.847216,-73.885018,NA,NY,2120 Mapes Avenue HDFC,2124 Mapes Avenue,N/A
N/A,B,NY8,N/A,N/A,N/A,B535,NY,400 Montauk Avenue Block Association. (Ismael Vega y Amigos),New Lots Avenue,East New York
2601,M,NY9,N/A,40.723433,-73.980995,M313A,NY,5th Street Slope Garden Club,626-27 East 5th Street,East Village
141,B,NY10,N/A,40.664706,-73.987554,NA,NY,6/15 Green,274 15th Street,Park Slope
N/A,B,NY11,N/A,N/A,N/A,NA,NY,64th Street Community Garden,64th Street,Sunset Park
2601,M,NY12,N/A,40.724036,-73.980569,M313,NY,6BC Botanical Garden,624-628 E 6th Street,East Village
32,M,NY13,N/A,40.724031,-73.981986,M293,NY,6th Street & Avenue B Garden,78-92 Avenue B,East Village
373,B,NY14,N/A,40.683541,-73.915121,B438,NY,700 Decatur Street Block Association,700 Decatur Street,Bed-Stuy
69,X,NY15,N/A,40.823065,-73.91645,X351,NY,811 Family and Friends Association,809 Courtlandt Avenue,N/A
375,Q,NY16,N/A,40.756409,-73.87122,Q495,NY,97th Street Block Association,33-28 97th Street,Corona
28,M,NY17,N/A,40.725211,-73.977776,M312,NY,9th Street Community Garden & Park,703 East 9th Street,East Village
N/A,B,NY18,N/A,N/A,N/A,B507,NY,A Better Community Garden,762-764 Herkimer Place/13-21 Hunterfly,Bed-Stuy
141,X,NY19,N/A,40.82513,-73.913329,X350,NY,A. Badillo Community Rose Garden,924 Melrose Avenue,Melrose
N/A,B,NY20,N/A,N/A,N/A,NA,NY,Aberdeen Street II Garden Projects,Aberdeen Street,N/A
920,B,NY21,N/A,40.659528,-73.906203,B533,NY,Abib Newborn,495 Osborn Street,East New York
N/A,X,NY22,N/A,N/A,N/A,NA,NY,Adlai E. Stevenson High School-Ecological Garden,1980 Lafayette Avenue/Stickball Avenue,N/A
3602,M,NY23,N/A,40.725347,-73.99132,NA,NY,Alberts Garden,16-18 East 2nd Street,East Village
25901,B,NY24,N/A,40.694344,-73.946088,B439,NY,All People's Church of the Apostolic Faith Community Garden,149 Tompkins Avenue,Bed-Stuy
2601,M,NY25,N/A,40.721396,-73.979916,NA,NY,"All Peoples Garden, Inc.",293-295 East 3rd Street,East Village
51,B,NY26,N/A,40.683251,-74.003548,B409,NY,Amazing Garden,261-265 Columbia Street,Red Hook
902,B,NY27,N/A,40.665633,-73.913605,B440,NY,Amboy St. Garden,199 Amboy Street,N/A
261,B,NY28,N/A,40.693378,-73.946915,B441,NY,American Heart,122 Hart Street,Bed-Stuy
161,X,NY29,N/A,40.83652,-73.885069,X339,NY,Angie Lee-Gonzalez & Luis Gonzalez Garden,1768 Bryant Avenue,N/A
381,X,NY30,N/A,40.852889,-73.901885,NA,NY,Anthony Avenue Garden,2078 Anthony Avenue,N/A
N/A,Q,NY31,N/A,N/A,N/A,Q470,NY,Astoria Residents Reclaiming Our World (ARROW),35th St. Bet. 35th & 36th Aves,N/A
1194,B,NY32,N/A,40.673772,-73.878795,B443,NY,Atkins Gardeners,213 Atkins Avenue,East New York
3601,M,NY33,N/A,40.72252,-73.990728,NA,NY,Auxiliary Services for High Schools @ P.S. 91,198 Forsyth Street,Lower East Side
34,M,NY34,N/A,40.728307,-73.978864,M342,NY,Avenue B Community Garden Association,200 Avenue B,East Village
272,Q,NY35,N/A,40.683535,-73.792211,Q486,NY,B.C.C.A. Mini-Park and Garden,150-14 115th Drive,N/A
196,Q,NY36,N/A,40.689588,-73.803594,NA,NY,Back To Eden,144-29 Lakewood Avenue,N/A
51,B,NY37,N/A,40.682842,-74.006259,B410,NY,Backyard Garden,61-73 Hamilton Avenue,Red Hook
415,X,NY38,N/A,40.870996,-73.884326,NA,NY,Bainbridge Avenue Garden,2974-2980 Bainbridge Avenue,N/A
395,X,NY39,N/A,40.84506,-73.898018,NA,NY,Bathgate Garden,1836 Bathgate Avenue,N/A
N/A,R,NY40,N/A,N/A,N/A,R137A,NY,Bayview Habitat,Bayview Terrace,N/A
94201,Q,NY41,N/A,40.586066,-73.822624,NA,NY,Beach Channel High School,100-00 Beach Channel Drive,Far Rockaway
N/A,B,NY42,N/A,N/A,N/A,NA,NY,Bed-Stuy Community Garden (Lola Bryant Community Garden),93-95 Malcolm X Avenue,Bed-Stuy
381,B,NY43,N/A,40.682166,-73.927115,NA,NY,Bed-Stuy Farm,404 Decatur Street,N/A
389,X,NY44,N/A,40.856921,-73.884462,NA,NY,Belmont Little Farmers,2483 Belmont Avenue,Belmont
551,B,NY45,N/A,40.713449,-73.963827,B444,NY,Berry Street Garden,301-303 Berry Street,Williamsburg
N/A,X,NY46,N/A,N/A,N/A,NA,NY,Bettes Rose Garden,Teller Avenue,N/A
1160,B,NY47,N/A,40.669128,-73.889416,B446,NY,Big Red Garden,436 Van Siclen Avenue,East New York
N/A,X,NY48,N/A,N/A,N/A,NA,NY,Bissel Gardens,in Bissel Street,N/A
184,M,NY49,N/A,40.802263,-73.944274,NA,NY,Black Veterans For Social Justice,22 East 119th Street,East Harlem
N/A,Q,NY50,N/A,N/A,N/A,Q487,NY,Block Association #81,Inwood Street,Jamaica
N/A,M,NY51,N/A,N/A,N/A,M333,NY,Bradhurst Avenue Tenants Association,Bradhurst Avenue,Hamilton Heights
N/A,B,NY52,N/A,N/A,N/A,NA,NY,Bridge Plaza Community Garden,Bridge St,N/A
N/A,B,NY53,N/A,N/A,N/A,NA,NY,Bridge Plaza Court,Bridge Plaza Court,N/A
2601,M,NY54,N/A,40.722296,-73.982048,M334,NY,Brisas Del Caribe,237 E 3rd Street,East Village
39,X,NY55,N/A,40.809829,-73.918667,X246,NY,Brook Park,494 East 141st Street,N/A
179,B,NY56,N/A,40.685731,-73.971356,B421,NY,Brooklyn Bears/Carlton Avenue Garden,397-401 Carlton Avenue,Clinton Hill
N/A,B,NY57,N/A,N/A,N/A,NA,NY,Brooklyn Bears/Pacific Street Garden,Flatbush Avenue,Park Slope
33,B,NY58,N/A,40.687133,-73.979674,B422,NY,Brooklyn Bears/Rockwell Place Garden,65-73 Flatbush Avenue,Downtown Brooklyn
201,B,NY59,N/A,40.681526,-73.961901,NA,NY,Brooklyn's Finest Garden,48 Lefferts Place,N/A
11502,X,NY60,N/A,40.819878,-73.886951,X315,NY,Bryant Hill Community Garden,899-999 Bryant Avenue,Hunt's Point
1160,B,NY61,N/A,40.668623,-73.889471,B447,NY,C.A.U.S.A. Festival Garden,790 Blake Avenue,East New York
20502,X,NY62,N/A,40.851414,-73.918533,NA,NY,C.E.S. 109 - The Angelo Sanchez Inspirational Garden,1771 Popham Avenue,N/A
199,X,NY63,N/A,40.835784,-73.928324,NA,NY,C.E.S. 126 - Literacy Garden,175 W 166th Street,N/A
14702,X,NY64,N/A,40.836404,-73.905014,NA,NY,C.E.S. 55,450 St. Pauls Place,Mt. Eden
189,X,NY65,N/A,40.832706,-73.926838,NA,NY,C.E.S. 73,1020 Anderson Avenue,N/A
153,X,NY66,N/A,40.831035,-73.89477,X340,NY,C.S. 134X - Community Improvement Garden,1313-1311 Bristow Street,Morrisania
224,M,NY67,N/A,40.810928,-73.948938,NA,NY,C.S. 154 - Our Children's Garden,250 W 127th Street,N/A
N/A,M,NY68,N/A,N/A,N/A,NA,NY,C.S. 46 - Tappan School Garden of Heroes,2987 Frederick Douglass Boulevard,N/A
373,X,NY69,N/A,40.848472,-73.888561,NA,NY,C.S. 57 - Garden of Hope,2111 Crotona Avenue,N/A
359,X,NY70,N/A,40.840755,-73.881707,NA,NY,C.S. 6 - West Farms School Garden,1000 East Tremont Avenue,Tremont
153,X,NY71,N/A,40.836575,-73.892817,NA,NY,C.S. 61 - The  Francisco Oller School,1550 Crotona  Park East,N/A
N/A,Q,NY72,N/A,N/A,N/A,NA,NY,Cambria Heights Civic Association,227th Street,Cambria Heights
28,M,NY73,N/A,40.727318,-73.977194,M359,NY,CAMPOS,640-644 East 12th Street,East Village
N/A,M,NY74,N/A,N/A,N/A,M388,NY,Carolina Garden / formerly 116th Street Block Association,122nd Street,East Harlem
N/A,X,NY75,N/A,N/A,N/A,NA,NY,Carpenter Avenue Community Garden,in East 239th Street,Wakefield
218,M,NY76,N/A,40.804436,-73.952746,M385,NY,Carrie McCracken Garden/TRUCE,143-145 St. Nicholas Avenue,N/A
119,B,NY77,N/A,40.676396,-73.984555,NA,NY,Carroll Street Community Garden (Our Lady of Peace Church or Gil Hodges Garden),534 Carroll Street,N/A
194,M,NY78,N/A,40.802632,-73.935399,NA,NY,Carver Community Garden,236-242 East 124th Street,East Harlem
73,X,NY79,N/A,40.814133,-73.910779,NA,NY,Cauldwell Youth Garden,551 Cauldwell Avenue,Mott Haven
233,B,NY80,N/A,40.687514,-73.958923,B448,NY,Cedar Tree Garden,305 Greene Avenue,N/A
381,B,NY81,N/A,40.681591,-73.925688,NA,NY,Central Bainbridge Block Association Inc.,277-279 Bainbridge Street,Bed-Stuy
17402,M,NY82,N/A,40.797308,-73.946792,NA,NY,Chenchitas Group Garden,1691-93 Madison Avenue,East Harlem
190,M,NY83,N/A,40.802366,-73.94642,NA,NY,Childrens Aid Soc. Garden (The Sowers),21 West 118th Street,N/A
385,B,NY84,N/A,40.687548,-73.926979,B224A,NY,Citizens for a Better Community,127 Patchen Avenue,Bed-Stuy
67,M,NY85,N/A,40.729412,-74.006148,NA,NY,City-As-School H.S.,16 Clarkson Street,West Village
1152,B,NY86,N/A,40.674214,-73.889148,B450,NY,Clara's Garden,573-579 Glenmore Avenue,East New York
17701,X,NY87,N/A,40.834051,-73.910553,X321,NY,Claremont Neighborhood Garden,1280 Teller Avenue,N/A
231,B,NY88,N/A,40.683943,-73.959033,NA,NY,Classon/Fulgate Block Association,474 Classon Avenue,N/A
17702,X,NY89,N/A,40.835309,-73.908936,NA,NY,Clay Avenue Community Garden,1328-1332 Clay Avenue,N/A
215,M,NY90,N/A,40.810959,-73.950928,M374,NY,Clayton Williams Garden,303 W 126th Street,N/A
1166,B,NY91,N/A,40.674162,-73.884339,B526,NY,Cleveland Street Vegetable Garden,433-435 Cleveland Street,East New York
231,B,NY92,N/A,40.687639,-73.962648,NA,NY,Clifton Place Garden,289 Grand Avenue,N/A
243,B,NY93,N/A,40.688603,-73.954945,B451,NY,Clifton Place Memorial Park & Garden,1031-35 Bedford Avenue,N/A
371,X,NY94,N/A,40.845858,-73.888049,NA,NY,Clinton Avenue Block Association,757 East 179th Street,N/A
127,M,NY95,N/A,40.762717,-73.991026,M281,NY,Clinton Community Garden,436 West 48th Street,Hell's Kitchen
225,X,NY96,N/A,40.838033,-73.91027,NA,NY,College Avenue GreenThumb,1420 College Avenue,N/A
259,M,NY97,N/A,40.826069,-73.939785,NA,NY,Colonial Gardeners,304-306 West 150th St,N/A
2201,M,NY98,N/A,40.72017,-73.984289,M335,NY,Committee of Poor Peoples of the LES Community Garden,171 Stanton Street,Lower East Side
399,B,NY99,N/A,40.692238,-73.92181,B520,NY,Concerned Citizens of Grove Street,72-74 Grove Street,Bushwick
1150,B,NY100,N/A,40.674396,-73.887803,B452,NY,Concerned Residents of Barbey Street,606 Glenmore Avenue,N/A
1194,B,NY101,N/A,40.673887,-73.87789,B453,NY,Concerned Residents of Montauk Avenue,214 Montauk Avenue,East New York
N/A,M,NY102,N/A,N/A,N/A,NA,NY,Life Sciences High School,320 96th Street NY NY 10128,Upper East Side
363,X,NY103,N/A,40.845582,-73.880943,NA,NY,Concerned Tenants of Daly Avenue,2139 Daly Avenue,N/A
403,B,NY104,N/A,40.683411,-73.907424,NA,NY,Contented Hart Garden,1475 Bushwick Avenue,Bushwick
403,B,NY105,N/A,40.684528,-73.910541,B454,NY,Cooper Street Block Buster Block Association.,41 Cooper Street,Bushwick
403,B,NY106,N/A,40.684311,-73.910725,NA,NY,Cooper Street Gardeners,34 Cooper Street,N/A
44301,Q,NY107,N/A,40.741788,-73.859801,Q474A,NY,Corona Taxpayers Association,52-02 102nd  Street,Corona
69,X,NY108,N/A,40.822689,-73.91614,X338,NY,Courtlandt Avenue Association,364-366 East 158th Street,Melrose
32,M,NY109,N/A,40.72511,-73.983119,M315,NY,Creative Little Garden,530 East 6th Street,East Village
23704,X,NY110,N/A,40.856775,-73.901518,NA,NY,Creston Jungle Playground,2242 Creston Avenue,N/A
N/A,B,NY111,N/A,N/A,N/A,B455,NY,Crystal Street Block Association Community Garden,Crystal Street,East New York
992,Q,NY112,N/A,40.595964,-73.763133,NA,NY,Culinary Kids Garde (Seagirt Community Garden),3003 Seagirt Boulevard.,Far Rockaway
284,Q,NY113,N/A,40.684574,-73.78111,NA,NY,"Curtis ""50 Cent"" Jackson Community Garden",11709 165th Street,N/A
71,B,NY114,N/A,40.684364,-73.984438,NA,NY,David Foulke Community Garden,248-250 Bergen Street,Boerum Hill
253,X,NY115,N/A,40.861379,-73.903254,NA,NY,Davidson Avenue Community Garden,2385 Davidson Avenue,N/A
2602,M,NY116,N/A,40.725296,-73.979821,M336,NY,De Colores Community Garden,311-313 E 8th Street,East Village
403,B,NY117,N/A,40.685985,-73.910265,NA,NY,Decatur Street Community Garden,1052 Decatur Street,N/A
83,X,NY118,N/A,40.815229,-73.902569,X179A,NY,Demera/Santiago Garden,941-943 Avenue St. John,N/A
188,M,NY119,N/A,40.798107,-73.936371,M323,NY,Diamante Garden (Block and School Association),306-310 East 118th Street,East Harlem
34,M,NY120,N/A,40.729306,-73.979885,M337,NY,Dias y Flores,520-522 East 13th Street,East Village
245,M,NY121,N/A,40.833766,-73.942217,NA,NY,Dorothy K. McGowan Memorial Garden,513 W 158th Street,Washington Heights
242,M,NY122,N/A,40.802742,-73.935612,M302,NY,Dream Street Park,223 - 231 E. 124 St.,N/A
N/A,X,NY123,N/A,N/A,N/A,X271A,NY,Dred Scott Bird Sanctuary Garden and Park,E 169th Street,N/A
N/A,X,NY124,N/A,N/A,N/A,NA,NY,Drew Garden - I.S. 167,East Tremont Avenue,N/A
N/A,Q,NY125,N/A,N/A,N/A,NA,NY,Dunton Block and Civic Association. Inc.,Remington Street,N/A
283,M,NY126,N/A,40.860412,-73.927936,NA,NY,Dyckman Valley School - P.S. 152,93 Nagle Avenue,N/A
2602,M,NY127,N/A,40.725022,-73.979172,M324,NY,Earth People,333-335 East 8th Street,East Village
2601,M,NY128,N/A,40.72438,-73.98138,NA,NY,Earth School - P.S.64,600 East 6th Street,East Village
166,M,NY129,N/A,40.790817,-73.948859,NA,NY,East 103rd Street Community Garden,105 E 103rd Street,N/A
41,X,NY130,N/A,40.812172,-73.920336,NA,NY,East 143rd Street Community Garden (Bronx Community & Cultural Garden or North Church Garden),401 E 143rd Street,N/A
500,B,NY131,N/A,40.648198,-73.977358,B414,NY,East 4th St. Com. Gar.(Windsor Terrace Kensington Veterans Mem.),171 E 4th Street,Kensington
N/A,B,NY132,N/A,N/A,N/A,NA,NY,East End Community Garden,530-2 Glenmore Avenue / 260 Van Siclen Avenue,East New York
178,M,NY133,N/A,40.796357,-73.934119,NA,NY,East Harlem Community Garden,429-433 East 117th Street,East Harlem
N/A,B,NY134,N/A,N/A,N/A,B458,NY,Eastern Parkway Coalition,"Eastern Pkwy.,W/O Franklin",Crown Heights
231,M,NY135,N/A,40.826462,-73.941811,M319B,NY,Edgecomb Avenue Garden Park Sanctuary,339-341 Edgecomb Avenue,N/A
141,X,NY136,N/A,40.8227,-73.912729,X341,NY,Edith Community Garden (830 Elton Tnts. Assoc.),836 Elton Avenue,Melrose
208,M,NY137,N/A,40.809753,-73.94231,M316,NY,Edward P. Bowman Park,52 W 129th Street,West Harlem
75,X,NY138,N/A,40.820573,-73.909101,X313,NY,El Batey Borincano,811-815 Eagle Avenue,"
Melrose"
395,X,NY139,N/A,40.847974,-73.896315,X323,NY,El Batey de Dona Provi,504 East 178th Street,N/A
172,M,NY140,N/A,40.794391,-73.9434,NA,NY,El CataÃ±o Garden,169 East 110th Street,East Harlem
N/A,X,NY141,N/A,N/A,N/A,X339,NY,El Flamboyan,Tinton Avenue,N/A
2701,X,NY142,N/A,40.806094,-73.915774,X277,NY,El Girasol,624-638 East 138th Street,N/A
2701,X,NY143,N/A,40.806094,-73.915774,X277,NY,El Girasol,624-638 East 138th Street,N/A
N/A,M,NY144,N/A,N/A,N/A,M268A,NY,El Jardin del Paraiso,706-718 East 5th Street /311-321 East 4th Street,East Village
523,B,NY145,N/A,40.712385,-73.959633,B424,NY,El Puente: EspÃ­ritu Tierra Community Garden,203-207 South 2nd Street,Williamsburg
34,M,NY146,N/A,40.728694,-73.980372,M339,NY,El Sol Brillante Jr.,537 East 12th Street,East Village
228,M,NY147,N/A,40.815768,-73.940759,M340,NY,Elizabeth Langley Memorial Garden,121-123 West 137th Street,Central Harlem
1164,B,NY148,N/A,40.668638,-73.882081,B460,NY,Elton Street Block Association,585 Elton Street,East New York
1168,B,NY149,N/A,40.680441,-73.883066,NA,NY,Essex Street Community Fulton Street Garden (Fulton Street Community Garden),3030 Fulton Street,East New York
1196,B,NY150,N/A,40.673943,-73.871567,B461,NY,Euclid 500 Block Association.,532 Euclid Avenue,East New York
N/A,B,NY151,N/A,N/A,N/A,NA,NY,Euclid Pine Block Association,N/A,East New York
299,B,NY152,N/A,40.678383,-73.926777,B532,NY,F.A.R.R. Block Association,808 Herkimer Street,N/A
1120,B,NY153,N/A,40.665184,-73.881518,B462,NY,Family Community Garden - Brooklyn,793 Cleveland Street,East New York
172,M,NY154,N/A,40.79527,-73.943572,M330,NY,Family Community Garden - Manhattan,156 East 111th Street,East Harlem
178,M,NY155,N/A,40.794189,-73.935108,NA,NY,Family Garden,431 East 114th Street,East Harlem
69,X,NY156,N/A,40.822053,-73.913995,X337,NY,Family Group Garden,419 East 158th Street,Melrose
894,B,NY157,N/A,40.664208,-73.917132,B463,NY,Fantasy Garden,181 Legion Street,Brownsville
N/A,X,NY158,N/A,N/A,N/A,X252B,NY,Farm in the Bronx,East 182nd Street,N/A
303,B,NY159,N/A,40.674381,-73.91832,B464,NY,Farmers Garden,1897-1905 Bergen Street,N/A
2602,M,NY160,N/A,40.72447,-73.97791,M310,NY,Firemens Memorial Garden Inc.,358-364 E 8th Street,East Village
265,B,NY161,N/A,40.687717,-73.944139,B465,NY,First Quincy Street GreenThumb Garden,397-401 Quincy Street,N/A
3602,M,NY162,N/A,40.72384,-73.989772,M358,NY,First Street Garden,48 East 1st Street,N/A
1126,B,NY163,N/A,40.666585,-73.890635,B466,NY,First Temple of David,494 Bradford Street,East New York
1501,M,NY164,N/A,40.709257,-74.00198,M291,NY,FishBridge Pk. (South-Water-Front Neigh. Assoc.),338-340 Pearl Street,Downtown Manhattan
220,M,NY165,N/A,40.807004,-73.951621,NA,NY,Five Star Block Association,250-252 West 121st Street,Harlem
1150,B,NY166,N/A,40.673578,-73.884567,B467,NY,Floral Vineyard,2379-2385 Pitkin Avenue,East New York
39901,X,NY167,N/A,40.863711,-73.892599,X324,NY,Fordham Bedford Lot-Busters,2592-2597 Bainbridge Avenue,N/A
39901,X,NY168,N/A,40.863711,-73.892599,X324,NY,Fordham Bedford Lot-Busters,2592-2597 Bainbridge Avenue,N/A
229,M,NY169,N/A,40.824306,-73.949441,M317,NY,Frank White Memorial Garden,506-508 West 143rd Street,Hamilton Heights
185,X,NY170,N/A,40.826309,-73.905603,X318,NY,Franklin Memorial Garden,1060-1062 Cauldwell Avenue,Morrisania
N/A,M,NY171,N/A,N/A,N/A,NA,NY,Frederick Douglass Academy HS,2599 Adam Clayton Powell Jr Boulevard,N/A
17402,M,NY172,N/A,40.796245,-73.945843,NA,NY,Friendly Garden,95 East 111th Street,East Harlem
237,M,NY173,N/A,40.828638,-73.945842,NA,NY,Friendship Garden (Lucille McClarey Garden),499 West 150th Street,Hamilton Heights
N/A,M,NY174,N/A,N/A,N/A,M377,NY,Garden,Fredrick Douglas Blvd. and W. 152ns St,N/A
N/A,B,NY175,N/A,N/A,N/A,B420,NY,Garden Beautiful,Corner of Broadway & Putnam Ave.,Bed-Stuy
387,B,NY176,N/A,40.690966,-73.928771,NA,NY,Garden of Angels,978 Greene Avenue,Bed-Stuy
22902,X,NY177,N/A,40.844045,-73.907616,X297,NY,Garden of Eden - Bronx,1686 Weeks Avenue,N/A
371,X,NY178,N/A,40.848425,-73.885543,X293,NY,Garden of Happiness,2156-2160 Prospect Avenue,Crotona
