DI_ID,CensusTract,County,FoodProducing,Longitude,Latitude,State,Address,Plots,NeighborhoodName,DateEstablished,ObjectID,SiteID,GardenName,DEPT,PROGRAM,PROGRAM_NO,ASSGNBYDON,URL,SE_ANNO_CAD_DATA,SIZE_SQFT,WAIT_YRS,IN_ROW
WA1,N/A,N/A,N/A,-122.314151,47.58848054,WA,1701 15th Ave S,14,S Massachusetts St / 15th Ave S,2002,1,46,Beacon Bluff,SDOT,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/beacon-bluff,,1500,0.5,Yes
WA2,N/A,N/A,N/A,-122.3292725,47.72406461,WA,13045 1st Ave NE,52,N 130th St / 1st Ave NE,1998,2,37,Haller Lake,Church,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/haller-lake,,12500,2,No
WA3,N/A,N/A,N/A,-122.3250096,47.61981262,WA,200 Summit Ave E,31,E John St / Summit Ave E,2010,3,75,Unpaving Paradise,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/unpaving-paradise,,4600,2,No
WA4,N/A,N/A,N/A,-122.3522946,47.63883536,WA,217 Lynn St,73,3rd Ave N / Lynn St,1994,4,28,Queen Anne,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/queen-anne,,15000,2,Yes
WA5,N/A,N/A,N/A,-122.3501793,47.69332508,WA,8815 Fremont Ave N,34,Fremont Ave N / N 89th St,2012,5,83,Greenwood Station,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/greenwood-station,,5500,1,No
WA6,N/A,N/A,N/A,-122.3193604,47.62125137,WA,1010 E Thomas St,28,E Thomas St / 10th Ave E,1997,6,34,Thomas Street Gardens,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/thomas-street-gardens,,3200,2,No
WA7,N/A,N/A,N/A,-122.3450318,47.65514874,WA,3935 Woodland Park Ave N,28,N 40th St / Woodland Park Ave N,1995,7,32,Fremont,GROW,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/fremont,,4270,2,No
WA8,N/A,N/A,N/A,-122.3732239,47.5499198,WA,5900 32nd Ave SW,18,32nd Ave SW / SW Juneau St,1999,8,68,High Point Juneau Garden and Market Garden,SHA,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/high-point-juneau,,5000,2,No
WA9,N/A,N/A,N/A,-122.3164535,47.56204878,WA,4549 13th Ave S,25,13th Ave S / S Snoqualmie St,1974,9,14,Snoqualmie,City Light,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/snoqualmie,,18000,2,No
WA10,N/A,N/A,N/A,-122.390831,47.65086679,WA,3500 28th Ave W,46,W Bertona St / 26th Ave W,2013,10,80,Magnolia Manor Park,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/magnolia-manor-park,,15600,1,No
WA11,N/A,N/A,N/A,-122.2915522,47.58684755,WA,1720 32nd Ave S,40,32nd Ave S / S Massachusetts St,1974,11,13,Colman Park,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/colman-park,,14000,2,No
WA12,N/A,N/A,N/A,-122.2929054,47.62501783,WA,3000 E Mercer St,17,E Mercer St / 30th Ave E,2001,12,43,Madison Valley Mad P,SDOT,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/madison-valley,,2500,1,Yes
WA13,N/A,N/A,N/A,-122.290552,47.5417487,WA,32nd Ave S / S Brighton St,46,,1999,13,67,NewHolly Youth and Family,City Light,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/new-holly-youth-and-family,,10500,0.5,No
WA14,N/A,N/A,N/A,-122.2960095,47.54138827,WA,29th Ave S / S Brighton St,9,,2001,14,65,NewHolly 29th Ave Garden,SHA,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/new-holly-29-ave-garden,,2000,1,No
WA15,N/A,N/A,N/A,-122.3494727,47.73212542,WA,N 143rd St & Linden Ave N,29,,2013,15,73,Bitter Lake,SPU,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/bitter-lake,,15000,0.5,No
WA16,N/A,N/A,N/A,-122.3326105,47.62097238,WA,310 Minor Ave N,57,Minor Ave N / Thomas St,1996,16,33,Cascade,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/cascade,,7000,2,No
WA17,N/A,N/A,N/A,-122.3507244,47.70255836,WA,604 N 101st St,42,Evanston Ave N / N 102nd St,1974,17,3,Evanston,City Light,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/evanston,,11600,1,Yes
WA18,N/A,N/A,N/A,-122.315607,47.7128437,WA,11525 12th Ave NE,17,12th Ave NE / NE 115th St,1976,18,2,Pinehurst,GROW,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/pinehurst,,5000,1,No
WA19,N/A,N/A,N/A,-122.3502129,47.62498824,WA,300 Mercer St,98,4th Ave N / Mercer St,2012,19,86,UpGarden,Center,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/upgarden,,25000,1,No
WA20,N/A,N/A,N/A,-122.308938,47.59501284,WA,800 Hiawatha Pl S,13,S Dearborn St / Hiawatha Pl S,2006,20,30,Climbing Water,Homesight,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/climbing-water,,1800,2,No
WA21,N/A,N/A,N/A,-122.3473141,47.65135136,WA,N 36th St / Aurora Ave N,29,,2016,21,91,Troll's Knoll,SDOT,P-Patch (public),0,0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/trolls-knoll,,2000,1,No
WA22,N/A,N/A,N/A,-122.3066371,47.62482162,WA,1909 E Roy St,0,E Mercer St / 19th Ave E,2001,22,41,Pelican Tea Garden,SDOT,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/pelican-tea-garden,,1000,2,Yes
WA23,N/A,N/A,N/A,-122.3910028,47.5361877,WA,7400 Fauntleroy Way SW,34,SW Webster St / 45th Ave SW,2003,23,50,Solstice,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/solstice,,13000,2,No
WA24,N/A,N/A,N/A,-122.3636543,47.55505066,WA,5200 25th Ave SW,30,Delridge Way SW / Puget Blvd SW,1974,24,16,Delridge,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/delridge,,9400,1,Yes
WA25,N/A,N/A,N/A,-122.3212746,47.54499359,WA,6400 Corson Ave S,23,Corson Ave S / S Eddy St,2004,25,52,Oxbow Park,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/oxbow-park,,5000,1,No
WA26,N/A,N/A,N/A,-122.2807084,47.66805595,WA,5200 Mithun Pl NE,23,Mithun Pl NE / NE 52nd St,1989,26,6,Burke-Gilman Gardens,BEP/PDA,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/burke-gilman-gardens,,3500,0.5,No
WA27,N/A,N/A,N/A,-122.2963906,47.60666174,WA,504 M L King Jr Way,18,M L King Jr Way / E Jefferson St,2005,27,54,Hawkins,DON,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/hawkins,,2100,2,No
WA28,N/A,N/A,N/A,-122.3469441,47.63526378,WA,1800 5th Ave N,32,5th Ave N / Howe St,2002,28,44,Queen Pea,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/queen-pea,,4000,2,Yes
WA29,N/A,N/A,N/A,-122.30632,47.62336293,WA,503 20th Ave E,23,20th Ave E / E Republican St,1986,29,20,Republican,Private,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/republican,,2600,2,No
WA30,N/A,N/A,N/A,-122.3139708,47.60286893,WA,152 14th Ave,35,14th Ave / E Fir St,1995,30,31,Squire Park,DON,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/squire-park,,5000,1,No
WA31,N/A,N/A,N/A,-122.3183802,47.72455957,WA,13049 10th Ave NE,51,NE 133rd St / 10th Ave NE,1974,31,1,Jackson Park,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/jackson-park,,14100,2,No
WA32,N/A,N/A,N/A,-122.3738929,47.66767941,WA,1401 NW 54th St,21,14th Ave NW / NW 54th St,1999,32,38,Greg's Garden,Metro,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/gregs-garden,,2500,0.5,No
WA33,N/A,N/A,N/A,-122.3056043,47.55731571,WA,4913 Columbia Dr S,110,Columbia Dr S / S Ferdinand St,1982,33,15,Maa Nyei Lai Ndeic,City Light,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/maa-nyei-lai-ndeic-(my-mothers-garden),,44000,2,No
WA34,N/A,N/A,N/A,-122.3003537,47.61170774,WA,1101 25th Ave,13,E Spring St / 25th Ave,2009,34,55,Spring Street,DON,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/spring-street,,1900,1,Yes
WA35,N/A,N/A,N/A,-122.2742303,47.55311445,WA,4625 S Brandon St,0,47th Ave S / S Brandon St,2003,35,49,Brandon Street Orchard,DON,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/brandon-street-orchard,,2500,0,No
WA36,N/A,N/A,N/A,-122.3006516,47.68763786,WA,8040 25th Ave NE,259,25th Ave NE / NE 80th St,1973,36,5,Picardo Farm,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/picardo-farm,,98000,1,Yes
WA37,N/A,N/A,N/A,-122.3118105,47.61805877,WA,1514 E Howell Street,0,E Denny Way / 16th Ave,2011,37,76,Howell Collective,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/howell-collective,,4200,1,No
WA38,N/A,N/A,N/A,-122.2978936,47.56682517,WA,2902 S Dakota St,36,S Lilac St / M L King Jr Way S,2008,38,59,Rainier Vista Dakota West,SHA,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/rainier-vista-dakota-garden,,8461,0.5,No
WA39,N/A,N/A,N/A,-122.2885321,47.57157483,WA,3600 36th Ave S,23,S Spokane St / 36th Ave S,1999,39,40,Courtland Place,SDOT,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/courtland-place,,2500,0.5,Yes
WA40,N/A,N/A,N/A,-122.3306144,47.69619312,WA,2318 N 92nd St,67,College Way N / N 92nd St,2014,40,87,Licton Springs,North Seattle College,P-Patch (public),0,0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/licton-springs,,15000,2, 
WA41,N/A,N/A,N/A,-122.3593972,47.65782795,WA,4200 Baker Ave NW,19,Baker Ave NW / NW 42nd St,2010,41,26,Hazel Heights,GROW,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/hazel-heights,,2000,2,No
WA42,N/A,N/A,N/A,-122.2945561,47.54290715,WA,2930 S Holly St,9,Shaffer Ave S / S Holly St,2001,42,64,NewHolly Lucky Garden,SHA,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/new-holly-lucky-garden,,2000,1,No
WA43,N/A,N/A,N/A,-122.3620999,47.69254969,WA,343 NW 88th St,32,3rd Ave NW / NW 88th St,1997,43,35,Greenwood,GROW,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/greenwood,,3200,1,No
WA44,N/A,N/A,N/A,-122.2916601,47.62570175,WA,E Madison St & Lake Washington Blvd E,7,,1994,44,25,Ida Mia Garden,Private,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/ida-mia-garden,,1600,1,No
WA45,N/A,N/A,N/A,-122.2948296,47.56130639,WA,2917 S Snoqualmie St,18,29th Ave S / S Snoqualmie St,2006,45,58,Rainier Vista Snoqualmie Garden,SHA,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/rainier-vista-snoqualmie,,1569,2,No
WA46,N/A,N/A,N/A,-122.3757933,47.52086813,WA,3405 SW Barton St,45,SW Barton St / 34th Ave SW,2012,46,85,Barton Street,SPU,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/barton-street,,12000,2,No
WA47,N/A,N/A,N/A,-122.2810134,47.5442118,WA,3956 S Morgan St,30,42nd Ave S / S Morgan St,2004,47,51,Angel Morgan,SDOT,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/angel-morgan,,22650,0.5,Yes
WA48,N/A,N/A,N/A,-122.3253711,47.64748082,WA,2892 Fairview Ave E,47,Eastlake Ave E / E Shelby St,1981,48,12,Eastlake,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/eastlake,,75000,3,Yes
WA49,N/A,N/A,N/A,-122.384318,47.56458185,WA,4101 SW Genesee St,12,SW Genesee St / 41st Ave SW,2009,49,72,West Genesee Garden,Private,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/west-genesee-garden,,1279,2,No
WA50,N/A,N/A,N/A,-122.3478859,47.67806377,WA,744 N 67th St,25,Linden Ave N / N 67th St,2003,50,48,Linden Orchard,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/linden-orchard,,2500,2,No
WA51,N/A,N/A,N/A,-122.3126613,47.66914249,WA,5522 University Way NE,18,University Way NE / NE 56th St,2010,51,77,Shiga's Garden,Private,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/shigas-garden,,2000,1,No
WA52,N/A,N/A,N/A,-122.343466,47.52236557,WA,9000 8th Ave SW,52,SW Barton St / 8th Ave SW,2013,52,87,Westcrest Garden,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/p-patch-community-gardening/p-patch-list/westcrest-garden,,55000,0.5,No
WA53,N/A,N/A,N/A,-122.3086384,47.60937363,WA,18th Ave & E Columbia St,14,,1998,53,39,Immaculate,Church,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/immaculate,,1800,2,No
WA54,N/A,N/A,N/A,-122.2915426,47.56314905,WA,4450 Renton Ave S,24,S Oregon St / 33rd Ave S,2013,54,57,Rainier Vista Sunrise Garden,SHA,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/rainer-vista-sunrise-garden,,7100,2,No
WA55,N/A,N/A,N/A,-122.3219593,47.70289815,WA,525 NE 103rd St,22,5th Ave NE / NE 103rd St,2007,55,53,Maple Leaf,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/maple-leaf,,16000,1,No
WA56,N/A,N/A,N/A,-122.2693626,47.50246868,WA,5115 S Leo St,43,51st Ave S / S Leo St,2012,56,79,Leo Street,Private,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/leo-street,,2400,1,No
WA57,N/A,N/A,N/A,-122.2954213,47.58719749,WA,1750 S Bradner Pl S,60,29th Ave S / S Grand St,1987,57,22,Bradner Gardens Park,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/bradner-gardens-park,,14330,0.5,No
WA58,N/A,N/A,N/A,-122.2915162,47.57248056,WA,3400 Rainier Ave S,19,33rd Ave S / S Hinds St,1990,58,23,Estelle Street,SDOT,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/estelle-street,,6000,2,Yes
WA59,N/A,N/A,N/A,-122.2881144,47.53829193,WA,7123 Holly Park Dr S,23,Holly Park Dr S / S Myrtle Pl,2003,59,66,NewHolly Power Garden,City Light,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/new-holly-power-garden,,2400,1,No
WA60,N/A,N/A,N/A,-122.3770646,47.64119893,WA,2451 15th Ave W,132,W Wheeler St / 15th Ave W,1974,60,11,Interbay,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/interbay,,43000,2,No
WA61,N/A,N/A,N/A,-122.3037537,47.66643769,WA,5200 Ravenna Ave NE,18,Ravenna Ave NE / NE 52nd St,1981,61,8,Ravenna,SDOT,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/ravenna,,2200,1,Yes
WA62,N/A,N/A,N/A,-122.3015615,47.59272131,WA,1107 24th Ave S,24,24th Ave S / S Norman St,1986,62,19,Judkins,DON/GROW,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/judkins,,5600,2,No
WA63,N/A,N/A,N/A,-122.3604321,47.67239752,WA,5926 3rd Ave NW,21,3rd Ave NW / NW 60th St,1991,63,24,Phinney Ridge,SDOT,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/phinney-ridge,,2600,2,Yes
WA64,N/A,N/A,N/A,-122.3321288,47.66334123,WA,4618 Bagley Ave N,42,N 46th St / Bagley Ave N,1981,64,9,Good Shepherd,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/good-shepherd,,8400,2.5,No
WA65,N/A,N/A,N/A,-122.3133047,47.66564791,WA,5031 University Way NE,31,University Way NE / NE 50th St,1991,65,17,University Heights,SSD,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/university-heights,,5000,1,No
WA66,N/A,N/A,N/A,-122.2866186,47.53999061,WA,37th Ave S & S Willow St,26,,2013,66,82,John C. Little Garden,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/p-patch-community-gardening/p-patch-list/john-c-little-garden,,7200,0.5,No
WA67,N/A,N/A,N/A,-122.2807194,47.52728288,WA,8420 42nd Ave S,77,M L King Jr Way S / S Cloverdale St,1974,67,18,Thistle,City Light,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/thistle,,130680,1,No
WA68,N/A,N/A,N/A,-122.3189136,47.60302562,WA,156 Boren Ave,28,Boren Ave / E Fir St,2015,68,0,Horuichi Park,Parks,P-Patch (public),0,0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/horiuchi-park,,4000,2, 
WA69,N/A,N/A,N/A,-122.35096,47.61400525,WA,2520 Elliott Ave,35,Elliott Ave / Vine St,1995,69,27,Belltown,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/belltown,,4400,2,No
WA70,N/A,N/A,N/A,-122.3195998,47.60052456,WA,221 10th Ave S,20,S Washington St / 10th Ave S,2017,70,92,Hoa Mai,SHA,P-Patch (public),,,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/hoa-mai,,3045,1,No
WA71,N/A,N/A,N/A,-122.3680018,47.68095602,WA,7028 9th Ave NW,28,9th Ave NW / NW 73rd St,2012,71,81,Kirke Park,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/kirke-park,,7400,2,No
WA72,N/A,N/A,N/A,-122.3641354,47.52854816,WA,2450 SW Thistle St,22,SW Thistle St / 25th Ave SW,2003,72,47,Longfellow Creek,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/longfellow-creek,,4000,1,No
WA73,N/A,N/A,N/A,-122.2918635,47.71994659,WA,12536 33rd Ave NE,22,33rd Ave NE / NE 125th St,2012,73,84,Lake City Court Garden,SHA,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/lake-city-court,,3000,0.5,No
WA74,N/A,N/A,N/A,-122.3731883,47.54816769,WA,31st Ave SW & SW Raymond St,46,,2009,74,70,High Point Commons Garden,SHA,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/high-point-commons-garden,,5269,1,No
WA75,N/A,N/A,N/A,-122.3200561,47.65628724,WA,4009 8th Ave NE,46,8th Ave NE / NE 40th St,1976,75,10,University District,Metro,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/university-district,,14400,0.5,No
WA76,N/A,N/A,N/A,-122.3893459,47.69149852,WA,8527 25th Ave NW,94,25th Ave NW / NW 85th St,1976,76,4,Ballard,Church,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/ballard,,18000,2,No
WA77,N/A,N/A,N/A,-122.3186027,47.62346884,WA,510 Federal Ave E,16,Federal Ave E / E Republican St,2015,77,88,Broadway Hill,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/broadway-hill-,,0,2, 
WA78,N/A,N/A,N/A,-122.3698138,47.55055088,WA,2726 SW MacArthur Ln,11,SW MacArthur Ln / High Point Dr SW,2009,78,69,High Point MacArthur Lane Park Garden,SHA,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/high-point-macarthur-lane-park,,2531,2,No
WA79,N/A,N/A,N/A,-122.3285392,47.52164966,WA,9026 4th Ave S,39,S Director St / 5th Ave S,1997,79,36,Marra Farm,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/marra-farm,,5600,0.5,No
WA80,N/A,N/A,N/A,-122.3952142,47.67066886,WA,2853 NW 58th St,14,NW 58th St / 30th Ave NW,2003,80,45,Thyme Patch Park,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/thyme-patch-park,,4800,1,No
WA81,N/A,N/A,N/A,-122.2747071,47.55250569,WA,4613 S Lucile St,43,S Lucile St / 46th Ave S,1994,81,29,Hillman City,GROW/Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/hillman-city,,18500,0.5,Yes
WA82,N/A,N/A,N/A,-122.2820922,47.53543215,WA,7409 40th Ave S,19,S Holly Park Dr  / S 40th St,2005,82,63,NewHolly Rockery Community/Market Garden,SHA,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/new-holly-rockery,,23000,2,No
WA83,N/A,N/A,N/A,-122.258234,47.68289794,WA,7400 Sand Point Way NE,128,NE 74th St / Sportsfield Dr NE,1977,83,7,Magnuson Park,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/magnuson-park,,174240,1,No
WA84,N/A,N/A,N/A,-122.3129255,47.56775294,WA,3950 15th Ave S,27,15th Ave S / S Dakota St,2014,84,21,Beacon Food Forest,SPU,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/beacon-food-forest,,27000,2,No
WA85,N/A,N/A,N/A,-122.3153151,47.67991224,WA,7012 12th Ave NE,29,NE 71st St / 12th Ave NE,2003,85,42,Roosevelt,DON,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/roosevelt,,3500,1,No
WA86,N/A,N/A,N/A,-122.2959395,47.57902929,WA,2570 M L King Jr Way S,0,M L King Jr Way S / S McClellan St,2001,86,71,Hillside Garden,FAS,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/hillside-garden,,8000,0.5,No
